"interaction_id","conversation_id","lead_id","campaign_id","timestamp","channel","event_type","agent_id","variant_id","outcome","metadata_json"
"INT00000041","C0000005","L0000005","CMP0016","2025-08-29T00:00:00","Ads","social_comment","EN-009","VAR00079","callback_requested","{""duration_sec"": 32, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000042","C0000005","L0000005","CMP0016","2025-08-29T00:00:00","SMS","email_sent","EN-007","VAR00019","none","{""duration_sec"": 754, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000043","C0000006","L0000006","CMP0004","2025-08-21T23:03:43","Web","call_made","EN-020","VAR00027","callback_requested","{""duration_sec"": 797, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000044","C0000006","L0000006","CMP0004","2025-08-23T08:29:50","Ads","sms_sent","EN-014","VAR00020","unsubscribe","{""duration_sec"": 334, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000045","C0000006","L0000006","CMP0004","2025-08-24T11:23:49","Social","social_comment","EN-004","VAR00081","negative","{""duration_sec"": 395, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000046","C0000006","L0000006","CMP0004","2025-08-26T07:28:55","Call","call_made","EN-008","VAR00083","negative","{""duration_sec"": 5, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000047","C0000006","L0000006","CMP0004","2025-08-26T13:45:04","Social","site_visit","EN-010","VAR00087","callback_requested","{""duration_sec"": 267, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000048","C0000006","L0000006","CMP0004","2025-08-26T15:42:16","SMS","sms_sent","EN-012","VAR00012","unsubscribe","{""duration_sec"": 373, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000049","C0000006","L0000006","CMP0004","2025-08-27T04:01:08","SMS","sms_reply","EN-006","VAR00071","unsubscribe","{""duration_sec"": 534, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000050","C0000006","L0000006","CMP0004","2025-08-28T02:58:03","Ads","email_click","EN-002","VAR00023","positive","{""duration_sec"": 96, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0004""}}"
"INT00000051","C0000007","L0000007","CMP0004","2025-08-19T01:25:33","Web","reply","EN-010","VAR00058","none","{""duration_sec"": 425, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000052","C0000007","L0000007","CMP0004","2025-08-24T13:18:39","Web","call_answered","EN-020","VAR00008","positive","{""duration_sec"": 92, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000053","C0000007","L0000007","CMP0004","2025-08-27T14:35:35","Call","reply","EN-010","VAR00096","callback_requested","{""duration_sec"": 291, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000054","C0000007","L0000007","CMP0004","2025-08-27T16:41:33","Call","reply","EN-002","VAR00013","callback_requested","{""duration_sec"": 57, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000055","C0000007","L0000007","CMP0004","2025-08-27T23:57:24","Web","sms_sent","EN-006","VAR00023","none","{""duration_sec"": 814, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000056","C0000007","L0000007","CMP0004","2025-08-28T11:56:00","Web","sms_reply","EN-013","VAR00009","none","{""duration_sec"": 871, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000057","C0000007","L0000007","CMP0004","2025-08-28T21:30:14","Call","social_comment","EN-005","VAR00017","unsubscribe","{""duration_sec"": 224, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000058","C0000007","L0000007","CMP0004","2025-08-28T23:07:17","Call","reply","EN-008","VAR00029","none","{""duration_sec"": 425, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000059","C0000007","L0000007","CMP0004","2025-08-28T23:40:05","Web","site_visit","EN-006","VAR00066","positive","{""duration_sec"": 693, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000060","C0000007","L0000007","CMP0004","2025-08-28T23:59:27","SMS","email_open","EN-003","VAR00017","unsubscribe","{""duration_sec"": 398, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000061","C0000007","L0000007","CMP0004","2025-08-29T00:00:00","Email","email_open","EN-006","VAR00084","callback_requested","{""duration_sec"": 319, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000062","C0000007","L0000007","CMP0004","2025-08-29T00:00:00","Web","email_click","EN-006","VAR00043","positive","{""duration_sec"": 334, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0004""}}"
"INT00000063","C0000008","L0000008","CMP0005","2025-08-24T18:09:31","Ads","sms_sent","EN-014","VAR00075","negative","{""duration_sec"": 248, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000064","C0000008","L0000008","CMP0005","2025-08-27T00:10:40","Social","social_comment","EN-009","VAR00010","negative","{""duration_sec"": 66, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000065","C0000008","L0000008","CMP0005","2025-08-27T14:34:32","Call","email_click","EN-015","VAR00071","unsubscribe","{""duration_sec"": 567, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000066","C0000008","L0000008","CMP0005","2025-08-28T21:11:09","Web","call_answered","EN-014","VAR00016","unsubscribe","{""duration_sec"": 132, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000067","C0000008","L0000008","CMP0005","2025-08-28T22:15:51","Email","email_sent","EN-010","VAR00039","negative","{""duration_sec"": 301, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000068","C0000008","L0000008","CMP0005","2025-08-28T22:31:31","Ads","email_sent","EN-014","VAR00068","callback_requested","{""duration_sec"": 639, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000069","C0000008","L0000008","CMP0005","2025-08-28T22:34:19","Social","call_made","EN-013","VAR00051","unsubscribe","{""duration_sec"": 76, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000070","C0000008","L0000008","CMP0005","2025-08-28T23:10:28","Call","sms_sent","EN-019","VAR00007","callback_requested","{""duration_sec"": 404, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0005""}}"
"INT00000071","C0000009","L0000009","CMP0023","2025-08-27T07:12:17","SMS","reply","EN-008","VAR00108","callback_requested","{""duration_sec"": 6, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000072","C0000009","L0000009","CMP0023","2025-08-27T11:48:14","Call","reply","EN-002","VAR00043","none","{""duration_sec"": 739, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000073","C0000009","L0000009","CMP0023","2025-08-28T16:16:34","Email","call_answered","EN-019","VAR00094","unsubscribe","{""duration_sec"": 625, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000074","C0000009","L0000009","CMP0023","2025-08-28T19:02:02","Web","reply","EN-017","VAR00101","none","{""duration_sec"": 754, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000075","C0000009","L0000009","CMP0023","2025-08-28T22:00:53","Web","call_made","EN-016","VAR00039","unsubscribe","{""duration_sec"": 672, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000076","C0000009","L0000009","CMP0023","2025-08-28T23:15:31","SMS","sms_sent","EN-017","VAR00051","negative","{""duration_sec"": 753, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000077","C0000009","L0000009","CMP0023","2025-08-28T23:25:26","Web","email_open","EN-011","VAR00037","unsubscribe","{""duration_sec"": 707, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000078","C0000009","L0000009","CMP0023","2025-08-28T23:26:53","Ads","call_made","EN-001","VAR00091","unsubscribe","{""duration_sec"": 159, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0023""}}"
"INT00000079","C0000010","L0000010","CMP0025","2025-07-29T00:28:01","Web","sms_reply","EN-005","VAR00059","negative","{""duration_sec"": 512, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000080","C0000010","L0000010","CMP0025","2025-08-03T23:50:59","Email","reply","EN-020","VAR00097","negative","{""duration_sec"": 486, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000081","C0000010","L0000010","CMP0025","2025-08-24T17:30:25","Web","email_open","EN-004","VAR00047","none","{""duration_sec"": 684, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000082","C0000010","L0000010","CMP0025","2025-08-26T23:51:06","Social","email_open","EN-010","VAR00013","positive","{""duration_sec"": 178, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000083","C0000010","L0000010","CMP0025","2025-08-27T14:11:33","Ads","email_open","EN-007","VAR00032","none","{""duration_sec"": 490, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000084","C0000010","L0000010","CMP0025","2025-08-28T20:44:46","SMS","call_answered","EN-016","VAR00039","negative","{""duration_sec"": 828, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000085","C0000010","L0000010","CMP0025","2025-08-28T22:43:35","Social","call_answered","EN-020","VAR00054","callback_requested","{""duration_sec"": 746, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000086","C0000010","L0000010","CMP0025","2025-08-28T22:46:23","Email","email_sent","EN-005","VAR00005","positive","{""duration_sec"": 389, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000087","C0000010","L0000010","CMP0025","2025-08-28T23:40:26","Email","reply","EN-015","VAR00015","unsubscribe","{""duration_sec"": 708, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000088","C0000010","L0000010","CMP0025","2025-08-28T23:44:57","Web","email_click","EN-010","VAR00091","none","{""duration_sec"": 296, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000089","C0000010","L0000010","CMP0025","2025-08-28T23:47:05","Email","sms_sent","EN-014","VAR00102","unsubscribe","{""duration_sec"": 49, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000090","C0000010","L0000010","CMP0025","2025-08-28T23:59:54","Social","call_answered","EN-020","VAR00107","callback_requested","{""duration_sec"": 532, ""utm"": {""source"": ""Event"", ""campaign"": ""CMP0025""}}"
"INT00000091","C0000011","L0000011","CMP0019","2025-07-29T06:53:07","Social","sms_reply","EN-011","VAR00063","negative","{""duration_sec"": 360, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0019""}}"
"INT00000092","C0000011","L0000011","CMP0019","2025-08-17T14:02:04","Social","social_comment","EN-017","VAR00024","negative","{""duration_sec"": 668, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0019""}}"
"INT00000093","C0000011","L0000011","CMP0019","2025-08-19T07:34:48","SMS","call_answered","EN-020","VAR00026","callback_requested","{""duration_sec"": 269, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0019""}}"
"INT00000094","C0000011","L0000011","CMP0019","2025-08-25T16:28:22","Call","sms_sent","EN-007","VAR00028","positive","{""duration_sec"": 204, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0019""}}"
"INT00000095","C0000011","L0000011","CMP0019","2025-08-28T03:05:25","Ads","email_click","EN-019","VAR00007","callback_requested","{""duration_sec"": 818, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0019""}}"
"INT00000096","C0000012","L0000012","CMP0008","2025-07-14T19:07:21","Web","email_open","EN-019","VAR00027","none","{""duration_sec"": 575, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0008""}}"
"INT00000097","C0000012","L0000012","CMP0008","2025-08-06T19:50:46","Call","call_made","EN-010","VAR00060","none","{""duration_sec"": 200, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0008""}}"
"INT00000098","C0000012","L0000012","CMP0008","2025-08-11T21:23:00","Call","email_click","EN-002","VAR00086","positive","{""duration_sec"": 414, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0008""}}"
"INT00000099","C0000012","L0000012","CMP0008","2025-08-28T04:03:44","Call","reply","EN-019","VAR00079","positive","{""duration_sec"": 387, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0008""}}"
"INT00000100","C0000012","L0000012","CMP0008","2025-08-28T12:18:07","Email","sms_sent","EN-008","VAR00102","none","{""duration_sec"": 860, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0008""}}"
"INT00000101","C0000012","L0000012","CMP0008","2025-08-28T17:00:47","Ads","sms_reply","EN-002","VAR00014","negative","{""duration_sec"": 274, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0008""}}"
"INT00000102","C0000013","L0000013","CMP0020","2025-07-22T21:52:35","Call","email_sent","EN-007","VAR00097","unsubscribe","{""duration_sec"": 57, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000103","C0000013","L0000013","CMP0020","2025-07-24T08:33:33","Social","email_click","EN-001","VAR00007","callback_requested","{""duration_sec"": 692, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000104","C0000013","L0000013","CMP0020","2025-08-14T18:00:39","Social","call_answered","EN-014","VAR00042","unsubscribe","{""duration_sec"": 387, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000105","C0000013","L0000013","CMP0020","2025-08-23T16:57:53","Ads","email_sent","EN-013","VAR00098","negative","{""duration_sec"": 194, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000106","C0000013","L0000013","CMP0020","2025-08-24T18:07:53","Call","email_sent","EN-013","VAR00078","positive","{""duration_sec"": 620, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000107","C0000013","L0000013","CMP0020","2025-08-28T08:18:30","SMS","sms_reply","EN-008","VAR00107","negative","{""duration_sec"": 533, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000108","C0000013","L0000013","CMP0020","2025-08-28T09:06:32","Web","email_click","EN-019","VAR00014","callback_requested","{""duration_sec"": 743, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000109","C0000013","L0000013","CMP0020","2025-08-28T23:27:16","Call","email_click","EN-005","VAR00067","none","{""duration_sec"": 884, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000110","C0000013","L0000013","CMP0020","2025-08-28T23:29:01","Email","email_click","EN-006","VAR00088","positive","{""duration_sec"": 418, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0020""}}"
"INT00000111","C0000014","L0000014","CMP0025","2025-08-25T02:31:30","Email","email_sent","EN-013","VAR00054","none","{""duration_sec"": 147, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000112","C0000014","L0000014","CMP0025","2025-08-28T05:21:04","Social","site_visit","EN-019","VAR00083","unsubscribe","{""duration_sec"": 706, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000113","C0000014","L0000014","CMP0025","2025-08-28T14:09:20","Web","email_sent","EN-012","VAR00042","none","{""duration_sec"": 367, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000114","C0000014","L0000014","CMP0025","2025-08-28T14:43:36","Web","call_answered","EN-004","VAR00101","unsubscribe","{""duration_sec"": 739, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000115","C0000014","L0000014","CMP0025","2025-08-28T19:15:07","Web","email_sent","EN-017","VAR00091","negative","{""duration_sec"": 772, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000116","C0000014","L0000014","CMP0025","2025-08-28T22:32:12","Call","email_sent","EN-004","VAR00088","none","{""duration_sec"": 462, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000117","C0000014","L0000014","CMP0025","2025-08-28T23:30:21","Social","site_visit","EN-019","VAR00080","none","{""duration_sec"": 835, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000118","C0000014","L0000014","CMP0025","2025-08-28T23:55:56","SMS","email_sent","EN-015","VAR00070","positive","{""duration_sec"": 6, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0025""}}"
"INT00000119","C0000015","L0000015","CMP0021","2025-07-03T23:54:29","Ads","social_comment","EN-011","VAR00100","positive","{""duration_sec"": 583, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000120","C0000015","L0000015","CMP0021","2025-08-01T00:42:33","Social","call_made","EN-017","VAR00074","none","{""duration_sec"": 443, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000121","C0000015","L0000015","CMP0021","2025-08-15T19:45:02","Web","call_made","EN-006","VAR00037","unsubscribe","{""duration_sec"": 873, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000122","C0000015","L0000015","CMP0021","2025-08-20T09:22:34","Email","sms_sent","EN-009","VAR00080","positive","{""duration_sec"": 581, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000123","C0000015","L0000015","CMP0021","2025-08-27T17:50:58","Ads","email_click","EN-010","VAR00076","negative","{""duration_sec"": 368, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000124","C0000015","L0000015","CMP0021","2025-08-28T14:37:34","Social","sms_reply","EN-020","VAR00102","callback_requested","{""duration_sec"": 164, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000125","C0000015","L0000015","CMP0021","2025-08-28T16:17:36","Call","call_made","EN-005","VAR00017","unsubscribe","{""duration_sec"": 724, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000126","C0000015","L0000015","CMP0021","2025-08-28T23:03:24","Ads","reply","EN-006","VAR00102","none","{""duration_sec"": 832, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000127","C0000015","L0000015","CMP0021","2025-08-28T23:40:47","Web","call_answered","EN-015","VAR00025","negative","{""duration_sec"": 440, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
"INT00000128","C0000015","L0000015","CMP0021","2025-08-28T23:48:56","Ads","call_answered","EN-019","VAR00042","callback_requested","{""duration_sec"": 230, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0021""}}"
